"Time","20.118.208.91:9100 ethernet rx","20.118.208.91:9100 infiniband rx","20.118.208.91:9100 unknown rx","20.118.208.91:9100 ethernet tx","20.118.208.91:9100 infiniband tx","20.118.208.91:9100 unknown tx"
2026-06-03 02:45:00,0 B,0 B,0 B,0 B,0 B,0 B
2026-06-03 02:45:15,428 KiB,445 KiB,0 B,327 KiB,328 KiB,0 B
2026-06-03 02:45:30,789 KiB,822 KiB,0 B,643 KiB,644 KiB,0 B
2026-06-03 02:45:45,978 KiB,1019 KiB,0 B,818 KiB,819 KiB,0 B
2026-06-03 02:46:00,1.06 MiB,1.10 MiB,0 B,936 KiB,938 KiB,0 B
2026-06-03 02:46:15,1.45 MiB,1.51 MiB,0 B,1.21 MiB,1.22 MiB,0 B
2026-06-03 02:46:30,1.72 MiB,1.79 MiB,0 B,1.46 MiB,1.46 MiB,0 B
2026-06-03 02:46:45,2.11 MiB,2.20 MiB,0 B,1.64 MiB,1.64 MiB,0 B
2026-06-03 02:47:00,2.59 MiB,2.69 MiB,0 B,1.94 MiB,1.95 MiB,0 B
2026-06-03 02:47:15,3.10 MiB,3.22 MiB,0 B,2.25 MiB,2.25 MiB,0 B
2026-06-03 02:47:30,3.56 MiB,3.70 MiB,0 B,2.54 MiB,2.54 MiB,0 B
2026-06-03 02:47:45,3.95 MiB,4.11 MiB,0 B,2.88 MiB,2.88 MiB,0 B
2026-06-03 02:48:00,4.43 MiB,4.61 MiB,0 B,3.18 MiB,3.18 MiB,0 B
2026-06-03 02:48:15,4.87 MiB,5.06 MiB,0 B,3.49 MiB,3.49 MiB,0 B
2026-06-03 02:48:30,5.23 MiB,5.44 MiB,0 B,3.84 MiB,3.84 MiB,0 B
2026-06-03 02:48:45,5.64 MiB,5.87 MiB,0 B,4.14 MiB,4.14 MiB,0 B
2026-06-03 02:49:00,6.11 MiB,6.35 MiB,0 B,4.45 MiB,4.45 MiB,0 B
2026-06-03 02:49:15,6.62 MiB,6.89 MiB,0 B,4.74 MiB,4.75 MiB,0 B
2026-06-03 02:49:30,7.08 MiB,7.37 MiB,0 B,5.04 MiB,5.04 MiB,0 B
2026-06-03 02:49:45,7.57 MiB,7.87 MiB,0 B,5.30 MiB,5.31 MiB,0 B
2026-06-03 02:50:00,7.95 MiB,8.27 MiB,0 B,5.64 MiB,5.64 MiB,0 B
2026-06-03 02:50:15,8.35 MiB,8.69 MiB,0 B,5.98 MiB,5.98 MiB,0 B
2026-06-03 02:50:30,8.80 MiB,9.15 MiB,0 B,6.27 MiB,6.28 MiB,0 B
2026-06-03 02:50:45,9.19 MiB,9.55 MiB,0 B,6.49 MiB,6.50 MiB,0 B
2026-06-03 02:51:00,9.64 MiB,10.0 MiB,0 B,7.07 MiB,7.08 MiB,0 B
2026-06-03 02:51:15,10.1 MiB,10.5 MiB,0 B,7.39 MiB,7.41 MiB,0 B
2026-06-03 02:51:30,10.6 MiB,11.1 MiB,0 B,7.69 MiB,7.70 MiB,0 B
2026-06-03 02:51:45,11.0 MiB,11.4 MiB,0 B,7.99 MiB,8.01 MiB,0 B
2026-06-03 02:52:00,11.5 MiB,12.0 MiB,0 B,8.30 MiB,8.32 MiB,0 B
2026-06-03 02:52:15,11.9 MiB,12.3 MiB,0 B,8.53 MiB,8.55 MiB,0 B
2026-06-03 02:52:30,12.3 MiB,12.8 MiB,0 B,8.84 MiB,8.85 MiB,0 B
2026-06-03 02:52:45,12.8 MiB,13.3 MiB,0 B,9.12 MiB,9.14 MiB,0 B
2026-06-03 02:53:00,13.3 MiB,13.8 MiB,0 B,9.41 MiB,9.43 MiB,0 B
2026-06-03 02:53:15,13.7 MiB,14.3 MiB,0 B,9.73 MiB,9.75 MiB,0 B
2026-06-03 02:53:30,14.2 MiB,14.8 MiB,0 B,10.0 MiB,10.0 MiB,0 B
2026-06-03 02:53:45,14.7 MiB,15.3 MiB,0 B,10.3 MiB,10.3 MiB,0 B
2026-06-03 02:54:00,15.2 MiB,15.8 MiB,0 B,10.6 MiB,10.6 MiB,0 B
2026-06-03 02:54:15,15.7 MiB,16.3 MiB,0 B,10.9 MiB,10.9 MiB,0 B
2026-06-03 02:54:30,16.2 MiB,16.8 MiB,0 B,11.2 MiB,11.2 MiB,0 B
2026-06-03 02:54:45,16.6 MiB,17.2 MiB,0 B,11.5 MiB,11.6 MiB,0 B
2026-06-03 02:55:00,17.0 MiB,17.6 MiB,0 B,11.7 MiB,11.8 MiB,0 B
2026-06-03 02:55:15,17.4 MiB,18.1 MiB,0 B,12.1 MiB,12.1 MiB,0 B
2026-06-03 02:55:30,17.8 MiB,18.5 MiB,0 B,12.3 MiB,12.4 MiB,0 B
2026-06-03 02:55:45,18.1 MiB,18.8 MiB,0 B,12.6 MiB,12.6 MiB,0 B
2026-06-03 02:56:00,18.6 MiB,19.3 MiB,0 B,12.9 MiB,12.9 MiB,0 B
2026-06-03 02:56:15,19.0 MiB,19.8 MiB,0 B,13.1 MiB,13.2 MiB,0 B
2026-06-03 02:56:30,19.3 MiB,20.1 MiB,0 B,13.4 MiB,13.4 MiB,0 B
2026-06-03 02:56:45,19.8 MiB,20.6 MiB,0 B,13.7 MiB,13.7 MiB,0 B
2026-06-03 02:57:00,20.4 MiB,21.2 MiB,0 B,14.0 MiB,14.0 MiB,0 B
2026-06-03 02:57:15,20.8 MiB,21.6 MiB,0 B,14.3 MiB,14.3 MiB,0 B
2026-06-03 02:57:30,21.2 MiB,22.0 MiB,0 B,14.6 MiB,14.7 MiB,0 B
2026-06-03 02:57:45,21.7 MiB,22.6 MiB,0 B,14.9 MiB,14.9 MiB,0 B
2026-06-03 02:58:00,22.2 MiB,23.0 MiB,0 B,15.2 MiB,15.3 MiB,0 B
2026-06-03 02:58:15,22.6 MiB,23.5 MiB,0 B,15.6 MiB,15.6 MiB,0 B
2026-06-03 02:58:30,23.1 MiB,24.0 MiB,0 B,15.9 MiB,15.9 MiB,0 B
2026-06-03 02:58:45,23.3 MiB,24.2 MiB,0 B,16.0 MiB,16.0 MiB,0 B
2026-06-03 02:59:00,23.7 MiB,24.6 MiB,0 B,16.2 MiB,16.2 MiB,0 B
2026-06-03 02:59:15,24.1 MiB,25.1 MiB,0 B,16.5 MiB,16.5 MiB,0 B
2026-06-03 02:59:30,24.3 MiB,25.3 MiB,0 B,16.6 MiB,16.7 MiB,0 B
2026-06-03 02:59:45,24.8 MiB,25.8 MiB,0 B,16.9 MiB,16.9 MiB,0 B
2026-06-03 03:00:00,25.2 MiB,26.2 MiB,0 B,17.2 MiB,17.3 MiB,0 B
2026-06-03 03:00:15,25.6 MiB,26.6 MiB,0 B,17.5 MiB,17.5 MiB,0 B
2026-06-03 03:00:30,25.7 MiB,26.7 MiB,0 B,17.7 MiB,17.7 MiB,0 B
2026-06-03 03:00:45,26.0 MiB,27.0 MiB,0 B,18.0 MiB,18.0 MiB,0 B
2026-06-03 03:01:00,26.4 MiB,27.5 MiB,0 B,18.3 MiB,18.4 MiB,0 B
2026-06-03 03:01:15,26.9 MiB,28.0 MiB,0 B,18.6 MiB,18.6 MiB,0 B
2026-06-03 03:01:30,27.3 MiB,28.4 MiB,0 B,18.9 MiB,18.9 MiB,0 B
2026-06-03 03:01:45,27.7 MiB,28.8 MiB,0 B,19.2 MiB,19.2 MiB,0 B
2026-06-03 03:02:00,28.1 MiB,29.3 MiB,0 B,19.4 MiB,19.4 MiB,0 B
2026-06-03 03:02:15,28.7 MiB,29.8 MiB,0 B,19.6 MiB,19.7 MiB,0 B
2026-06-03 03:02:30,29.0 MiB,30.2 MiB,0 B,19.8 MiB,19.9 MiB,0 B
2026-06-03 03:02:45,29.2 MiB,30.4 MiB,0 B,20.1 MiB,20.1 MiB,0 B
2026-06-03 03:03:00,29.8 MiB,31.0 MiB,0 B,20.4 MiB,20.4 MiB,0 B
2026-06-03 03:03:15,30.2 MiB,31.4 MiB,0 B,20.6 MiB,20.7 MiB,0 B
2026-06-03 03:03:30,30.6 MiB,31.8 MiB,0 B,21.0 MiB,21.0 MiB,0 B
2026-06-03 03:03:45,31.1 MiB,32.3 MiB,0 B,21.3 MiB,21.3 MiB,0 B
2026-06-03 03:04:00,31.5 MiB,32.8 MiB,0 B,21.6 MiB,21.6 MiB,0 B
2026-06-03 03:04:15,31.8 MiB,33.0 MiB,0 B,21.8 MiB,21.9 MiB,0 B
2026-06-03 03:04:30,32.2 MiB,33.5 MiB,0 B,22.1 MiB,22.2 MiB,0 B
2026-06-03 03:04:45,32.6 MiB,33.9 MiB,0 B,22.5 MiB,22.5 MiB,0 B
2026-06-03 03:05:00,33.0 MiB,34.3 MiB,0 B,22.8 MiB,22.8 MiB,0 B
2026-06-03 03:05:15,33.4 MiB,34.8 MiB,0 B,23.1 MiB,23.1 MiB,0 B
2026-06-03 03:05:30,34.0 MiB,35.3 MiB,0 B,23.4 MiB,23.4 MiB,0 B
2026-06-03 03:05:45,34.3 MiB,35.7 MiB,0 B,23.7 MiB,23.8 MiB,0 B
2026-06-03 03:06:00,34.7 MiB,36.1 MiB,0 B,24.1 MiB,24.1 MiB,0 B
2026-06-03 03:06:15,35.2 MiB,36.6 MiB,0 B,24.4 MiB,24.4 MiB,0 B
2026-06-03 03:06:30,35.8 MiB,37.2 MiB,0 B,24.6 MiB,24.7 MiB,0 B
2026-06-03 03:06:45,36.3 MiB,37.7 MiB,0 B,24.9 MiB,25.0 MiB,0 B
2026-06-03 03:07:00,36.8 MiB,38.3 MiB,0 B,25.2 MiB,25.2 MiB,0 B
2026-06-03 03:07:15,37.3 MiB,38.8 MiB,0 B,25.5 MiB,25.6 MiB,0 B
2026-06-03 03:07:30,37.7 MiB,39.2 MiB,0 B,25.8 MiB,25.9 MiB,0 B
2026-06-03 03:07:45,38.2 MiB,39.7 MiB,0 B,26.1 MiB,26.2 MiB,0 B
2026-06-03 03:08:00,38.7 MiB,40.2 MiB,0 B,26.4 MiB,26.5 MiB,0 B
2026-06-03 03:08:15,39.1 MiB,40.7 MiB,0 B,26.8 MiB,26.8 MiB,0 B
2026-06-03 03:08:30,39.6 MiB,41.1 MiB,0 B,27.1 MiB,27.1 MiB,0 B
2026-06-03 03:08:45,40.0 MiB,41.6 MiB,0 B,27.4 MiB,27.4 MiB,0 B
2026-06-03 03:09:00,40.4 MiB,42.0 MiB,0 B,27.7 MiB,27.7 MiB,0 B
