"Time","20.118.208.91:9100 eth0 rx","20.118.208.91:9100 eth0 tx"
2026-06-03 03:12:00,41.8 p/s,40.0 p/s
2026-06-03 03:12:15,41.4 p/s,39.7 p/s
2026-06-03 03:12:30,40.6 p/s,38.9 p/s
2026-06-03 03:12:45,40.6 p/s,39.0 p/s
2026-06-03 03:13:00,40.1 p/s,38.5 p/s
2026-06-03 03:13:15,39.9 p/s,38.4 p/s
2026-06-03 03:13:30,39.9 p/s,38.4 p/s
2026-06-03 03:13:45,39.2 p/s,37.7 p/s
2026-06-03 03:14:00,39.1 p/s,37.6 p/s
2026-06-03 03:14:15,39.5 p/s,38.0 p/s
2026-06-03 03:14:30,38.6 p/s,37.3 p/s
2026-06-03 03:14:45,39.0 p/s,37.7 p/s
2026-06-03 03:15:00,38.9 p/s,37.6 p/s
2026-06-03 03:15:15,38.8 p/s,37.4 p/s
2026-06-03 03:15:30,39.1 p/s,37.8 p/s
2026-06-03 03:15:45,40.1 p/s,38.7 p/s
2026-06-03 03:16:00,39.9 p/s,38.5 p/s
2026-06-03 03:16:15,39.7 p/s,38.3 p/s
2026-06-03 03:16:30,39.8 p/s,38.3 p/s
2026-06-03 03:16:45,40.8 p/s,39.2 p/s
2026-06-03 03:17:00,41.4 p/s,39.6 p/s
2026-06-03 03:17:15,42.2 p/s,40.4 p/s
2026-06-03 03:17:30,42.1 p/s,40.4 p/s
2026-06-03 03:17:45,42.6 p/s,40.9 p/s
2026-06-03 03:18:00,42.8 p/s,40.9 p/s
2026-06-03 03:18:15,42.8 p/s,40.9 p/s
2026-06-03 03:18:30,43.6 p/s,41.6 p/s
2026-06-03 03:18:45,43.6 p/s,41.5 p/s
2026-06-03 03:19:00,43.7 p/s,41.4 p/s
2026-06-03 03:19:15,45.2 p/s,42.9 p/s
2026-06-03 03:19:30,45.1 p/s,42.8 p/s
2026-06-03 03:19:45,45.2 p/s,42.8 p/s
2026-06-03 03:20:00,45.4 p/s,42.9 p/s
2026-06-03 03:20:15,45.2 p/s,42.8 p/s
2026-06-03 03:20:30,44.1 p/s,41.8 p/s
2026-06-03 03:20:45,43.7 p/s,41.3 p/s
2026-06-03 03:21:00,42.8 p/s,40.5 p/s
2026-06-03 03:21:15,42.2 p/s,39.9 p/s
2026-06-03 03:21:30,41.1 p/s,38.8 p/s
2026-06-03 03:21:45,39.8 p/s,37.7 p/s
2026-06-03 03:22:00,39.9 p/s,37.6 p/s
2026-06-03 03:22:15,40.1 p/s,37.8 p/s
2026-06-03 03:22:30,40.3 p/s,37.8 p/s
2026-06-03 03:22:45,40.3 p/s,37.8 p/s
2026-06-03 03:23:00,40.3 p/s,37.8 p/s
2026-06-03 03:23:15,40.3 p/s,37.9 p/s
2026-06-03 03:23:30,39.9 p/s,37.5 p/s
2026-06-03 03:23:45,39.4 p/s,37.1 p/s
2026-06-03 03:24:00,38.0 p/s,35.7 p/s
2026-06-03 03:24:15,36.3 p/s,34.1 p/s
2026-06-03 03:24:30,36.4 p/s,34.2 p/s
2026-06-03 03:24:45,36.5 p/s,34.3 p/s
2026-06-03 03:25:00,37.2 p/s,34.8 p/s
2026-06-03 03:25:15,37.7 p/s,35.4 p/s
2026-06-03 03:25:30,38.2 p/s,35.9 p/s
2026-06-03 03:25:45,38.0 p/s,35.7 p/s
2026-06-03 03:26:00,38.7 p/s,36.3 p/s
2026-06-03 03:26:15,39.5 p/s,37.2 p/s
2026-06-03 03:26:30,41.0 p/s,38.6 p/s
2026-06-03 03:26:45,40.3 p/s,37.9 p/s
2026-06-03 03:27:00,39.3 p/s,37.0 p/s
2026-06-03 03:27:15,37.4 p/s,35.4 p/s
2026-06-03 03:27:30,36.2 p/s,34.3 p/s
2026-06-03 03:27:45,36.2 p/s,34.3 p/s
2026-06-03 03:28:00,35.8 p/s,34.0 p/s
2026-06-03 03:28:15,36.2 p/s,34.3 p/s
2026-06-03 03:28:30,36.0 p/s,34.1 p/s
2026-06-03 03:28:45,36.2 p/s,34.3 p/s
2026-06-03 03:29:00,37.4 p/s,35.4 p/s
2026-06-03 03:29:15,37.3 p/s,35.3 p/s
2026-06-03 03:29:30,36.7 p/s,34.8 p/s
