"Time","172.212.226.225:9100direction: rx gpu_index: 0"
2026-05-03 18:44:20,3.08 GB/s
2026-05-03 18:44:40,3.08 GB/s
2026-05-03 18:45:00,3.01 GB/s
2026-05-03 18:45:20,3.04 GB/s
2026-05-03 18:45:40,3.04 GB/s
2026-05-03 18:46:00,3.06 GB/s
2026-05-03 18:46:20,3.00 GB/s
2026-05-03 18:46:40,3.00 GB/s
2026-05-03 18:47:00,3.18 GB/s
2026-05-03 18:47:20,2.93 GB/s
2026-05-03 18:47:40,2.93 GB/s
2026-05-03 18:48:00,3.02 GB/s
2026-05-03 18:48:20,3.10 GB/s
2026-05-03 18:48:40,3.10 GB/s
2026-05-03 18:49:00,3.00 GB/s
2026-05-03 18:49:20,3.13 GB/s
2026-05-03 18:49:40,3.13 GB/s
2026-05-03 18:50:00,3.01 GB/s
2026-05-03 18:50:20,3.03 GB/s
2026-05-03 18:50:40,3.03 GB/s
2026-05-03 18:51:00,3.09 GB/s
2026-05-03 18:51:20,2.99 GB/s
2026-05-03 18:51:40,2.99 GB/s
2026-05-03 18:52:00,3.14 GB/s
2026-05-03 18:52:20,3.03 GB/s
2026-05-03 18:52:40,3.03 GB/s
2026-05-03 18:53:00,3.07 GB/s
2026-05-03 18:53:20,3.09 GB/s
2026-05-03 18:53:40,3.09 GB/s
2026-05-03 18:54:00,3.00 GB/s
2026-05-03 18:54:20,3.12 GB/s
2026-05-03 18:54:40,3.12 GB/s
2026-05-03 18:55:00,2.91 GB/s
2026-05-03 18:55:20,3.01 GB/s
2026-05-03 18:55:40,3.01 GB/s
2026-05-03 18:56:00,3.13 GB/s
2026-05-03 18:56:20,2.99 GB/s
2026-05-03 18:56:40,2.99 GB/s
2026-05-03 18:57:00,3.09 GB/s
2026-05-03 18:57:20,3.05 GB/s
2026-05-03 18:57:40,3.05 GB/s
2026-05-03 18:58:00,3.03 GB/s
2026-05-03 18:58:20,3.16 GB/s
2026-05-03 18:58:40,3.16 GB/s
2026-05-03 18:59:00,3.00 GB/s
2026-05-03 18:59:20,3.11 GB/s
2026-05-03 18:59:40,3.11 GB/s
2026-05-03 19:00:00,3.02 GB/s
2026-05-03 19:00:20,3.01 GB/s
2026-05-03 19:00:40,3.01 GB/s
2026-05-03 19:01:00,3.13 GB/s
2026-05-03 19:01:20,2.99 GB/s
2026-05-03 19:01:40,2.99 GB/s
2026-05-03 19:02:00,3.10 GB/s
2026-05-03 19:02:20,3.01 GB/s
2026-05-03 19:02:40,3.01 GB/s
2026-05-03 19:03:00,3.02 GB/s
2026-05-03 19:03:20,3.12 GB/s
2026-05-03 19:03:40,3.12 GB/s
2026-05-03 19:04:00,3.00 GB/s
2026-05-03 19:04:20,3.10 GB/s
2026-05-03 19:04:40,3.10 GB/s
2026-05-03 19:05:00,3.02 GB/s
2026-05-03 19:05:20,3.01 GB/s
2026-05-03 19:05:40,3.01 GB/s
2026-05-03 19:06:00,3.12 GB/s
2026-05-03 19:06:20,3.00 GB/s
2026-05-03 19:06:40,3.00 GB/s
2026-05-03 19:07:00,3.10 GB/s
2026-05-03 19:07:20,3.03 GB/s
2026-05-03 19:07:40,3.03 GB/s
2026-05-03 19:08:00,2.99 GB/s
2026-05-03 19:08:20,3.13 GB/s
2026-05-03 19:08:40,3.13 GB/s
2026-05-03 19:09:00,3.00 GB/s
2026-05-03 19:09:20,3.08 GB/s
2026-05-03 19:09:40,3.08 GB/s
2026-05-03 19:10:00,3.02 GB/s
2026-05-03 19:10:20,3.00 GB/s
2026-05-03 19:10:40,3.00 GB/s
2026-05-03 19:11:00,3.15 GB/s
2026-05-03 19:11:20,2.99 GB/s
2026-05-03 19:11:40,2.99 GB/s
2026-05-03 19:12:00,3.05 GB/s
2026-05-03 19:12:20,3.05 GB/s
2026-05-03 19:12:40,3.05 GB/s
2026-05-03 19:13:00,3.01 GB/s
2026-05-03 19:13:20,3.16 GB/s
2026-05-03 19:13:40,3.16 GB/s
2026-05-03 19:14:00,3.03 GB/s
2026-05-03 19:14:20,3.09 GB/s
2026-05-03 19:14:40,3.09 GB/s
2026-05-03 19:15:00,3.05 GB/s
2026-05-03 19:15:20,3.00 GB/s
2026-05-03 19:15:40,3.00 GB/s
2026-05-03 19:16:00,3.14 GB/s
2026-05-03 19:16:20,3.00 GB/s
2026-05-03 19:16:40,3.00 GB/s
2026-05-03 19:17:00,3.07 GB/s
2026-05-03 19:17:20,3.03 GB/s
2026-05-03 19:17:40,3.03 GB/s
2026-05-03 19:18:00,2.99 GB/s
2026-05-03 19:18:20,3.14 GB/s
2026-05-03 19:18:40,3.14 GB/s
2026-05-03 19:19:00,3.01 GB/s
2026-05-03 19:19:20,3.08 GB/s
2026-05-03 19:19:40,3.08 GB/s
2026-05-03 19:20:00,3.04 GB/s
2026-05-03 19:20:20,3.02 GB/s
2026-05-03 19:20:40,3.02 GB/s
2026-05-03 19:21:00,3.13 GB/s
2026-05-03 19:21:20,3.00 GB/s
2026-05-03 19:21:40,3.00 GB/s
2026-05-03 19:22:00,3.06 GB/s
2026-05-03 19:22:20,3.03 GB/s
2026-05-03 19:22:40,3.03 GB/s
2026-05-03 19:23:00,3.01 GB/s
2026-05-03 19:23:20,3.16 GB/s
2026-05-03 19:23:40,3.16 GB/s
2026-05-03 19:24:00,3.00 GB/s
