"Time","172.212.226.225:9100 eth0 rx"
2026-05-03 18:21:40,76.8 kp/s
2026-05-03 18:22:00,76.7 kp/s
2026-05-03 18:22:20,76.6 kp/s
2026-05-03 18:22:40,76.7 kp/s
2026-05-03 18:23:00,76.7 kp/s
2026-05-03 18:23:20,76.7 kp/s
2026-05-03 18:23:40,76.7 kp/s
2026-05-03 18:24:00,76.6 kp/s
2026-05-03 18:24:20,76.6 kp/s
2026-05-03 18:24:40,76.7 kp/s
2026-05-03 18:25:00,76.7 kp/s
2026-05-03 18:25:20,76.7 kp/s
2026-05-03 18:25:40,76.7 kp/s
2026-05-03 18:26:00,76.7 kp/s
2026-05-03 18:26:20,76.8 kp/s
2026-05-03 18:26:40,76.8 kp/s
2026-05-03 18:27:00,76.8 kp/s
2026-05-03 18:27:20,76.6 kp/s
2026-05-03 18:27:40,76.5 kp/s
2026-05-03 18:28:00,76.4 kp/s
2026-05-03 18:28:20,76.3 kp/s
2026-05-03 18:28:40,76.3 kp/s
2026-05-03 18:29:00,76.3 kp/s
2026-05-03 18:29:20,76.2 kp/s
2026-05-03 18:29:40,76.2 kp/s
2026-05-03 18:30:00,76.2 kp/s
2026-05-03 18:30:20,76.3 kp/s
2026-05-03 18:30:40,76.3 kp/s
2026-05-03 18:31:00,76.3 kp/s
2026-05-03 18:31:20,76.4 kp/s
2026-05-03 18:31:40,76.5 kp/s
2026-05-03 18:32:00,76.5 kp/s
2026-05-03 18:32:20,76.7 kp/s
2026-05-03 18:32:40,76.8 kp/s
2026-05-03 18:33:00,76.8 kp/s
2026-05-03 18:33:20,76.9 kp/s
2026-05-03 18:33:40,76.9 kp/s
2026-05-03 18:34:00,77.0 kp/s
2026-05-03 18:34:20,77.0 kp/s
2026-05-03 18:34:40,77.0 kp/s
2026-05-03 18:35:00,77.0 kp/s
2026-05-03 18:35:20,76.9 kp/s
2026-05-03 18:35:40,76.9 kp/s
2026-05-03 18:36:00,76.9 kp/s
2026-05-03 18:36:20,76.9 kp/s
2026-05-03 18:36:40,76.9 kp/s
2026-05-03 18:37:00,76.9 kp/s
2026-05-03 18:37:20,76.9 kp/s
2026-05-03 18:37:40,76.9 kp/s
2026-05-03 18:38:00,76.8 kp/s
2026-05-03 18:38:20,76.8 kp/s
2026-05-03 18:38:40,76.7 kp/s
2026-05-03 18:39:00,76.7 kp/s
2026-05-03 18:39:20,76.7 kp/s
2026-05-03 18:39:40,76.7 kp/s
2026-05-03 18:40:00,76.6 kp/s
2026-05-03 18:40:20,76.6 kp/s
2026-05-03 18:40:40,76.6 kp/s
2026-05-03 18:41:00,76.6 kp/s
2026-05-03 18:41:20,76.5 kp/s
2026-05-03 18:41:40,76.4 kp/s
2026-05-03 18:42:00,76.4 kp/s
2026-05-03 18:42:20,76.3 kp/s
2026-05-03 18:42:40,76.4 kp/s
2026-05-03 18:43:00,76.4 kp/s
2026-05-03 18:43:20,76.4 kp/s
2026-05-03 18:43:40,76.3 kp/s
2026-05-03 18:44:00,76.3 kp/s
2026-05-03 18:44:20,76.4 kp/s
2026-05-03 18:44:40,76.4 kp/s
2026-05-03 18:45:00,76.4 kp/s
2026-05-03 18:45:20,76.4 kp/s
2026-05-03 18:45:40,76.4 kp/s
2026-05-03 18:46:00,76.4 kp/s
2026-05-03 18:46:20,76.4 kp/s
2026-05-03 18:46:40,76.5 kp/s
2026-05-03 18:47:00,76.5 kp/s
2026-05-03 18:47:20,76.5 kp/s
2026-05-03 18:47:40,76.4 kp/s
2026-05-03 18:48:00,76.4 kp/s
2026-05-03 18:48:20,76.5 kp/s
2026-05-03 18:48:40,76.5 kp/s
2026-05-03 18:49:00,76.5 kp/s
2026-05-03 18:49:20,76.4 kp/s
