"Time","{instance=""172.212.226.225:9100"", transport=""ethernet""}"
2026-05-03 18:49:40,6.66 TB
2026-05-03 18:50:00,6.69 TB
2026-05-03 18:50:20,6.75 TB
2026-05-03 18:50:40,6.78 TB
2026-05-03 18:51:00,6.82 TB
2026-05-03 18:51:20,6.88 TB
2026-05-03 18:51:40,6.91 TB
2026-05-03 18:52:00,6.94 TB
2026-05-03 18:52:20,7.01 TB
2026-05-03 18:52:40,7.04 TB
2026-05-03 18:53:00,7.07 TB
2026-05-03 18:53:20,7.13 TB
2026-05-03 18:53:40,7.17 TB
2026-05-03 18:54:00,7.20 TB
2026-05-03 18:54:20,7.26 TB
2026-05-03 18:54:40,7.29 TB
2026-05-03 18:55:00,7.32 TB
2026-05-03 18:55:20,7.39 TB
2026-05-03 18:55:40,7.42 TB
2026-05-03 18:56:00,7.45 TB
2026-05-03 18:56:20,7.51 TB
2026-05-03 18:56:40,7.55 TB
2026-05-03 18:57:00,7.58 TB
2026-05-03 18:57:20,7.64 TB
2026-05-03 18:57:40,7.67 TB
2026-05-03 18:58:00,7.70 TB
2026-05-03 18:58:20,7.77 TB
2026-05-03 18:58:40,7.80 TB
2026-05-03 18:59:00,7.83 TB
2026-05-03 18:59:20,7.90 TB
2026-05-03 18:59:40,7.93 TB
2026-05-03 19:00:00,7.96 TB
2026-05-03 19:00:20,8.02 TB
2026-05-03 19:00:40,8.05 TB
2026-05-03 19:01:00,8.09 TB
2026-05-03 19:01:20,8.15 TB
2026-05-03 19:01:40,8.18 TB
2026-05-03 19:02:00,8.21 TB
2026-05-03 19:02:20,8.28 TB
2026-05-03 19:02:40,8.31 TB
2026-05-03 19:03:00,8.34 TB
2026-05-03 19:03:20,8.40 TB
2026-05-03 19:03:40,8.44 TB
2026-05-03 19:04:00,8.47 TB
2026-05-03 19:04:20,8.53 TB
2026-05-03 19:04:40,8.56 TB
2026-05-03 19:05:00,8.60 TB
2026-05-03 19:05:20,8.66 TB
2026-05-03 19:05:40,8.69 TB
2026-05-03 19:06:00,8.72 TB
2026-05-03 19:06:20,8.79 TB
2026-05-03 19:06:40,8.82 TB
2026-05-03 19:07:00,8.85 TB
2026-05-03 19:07:20,8.91 TB
2026-05-03 19:07:40,8.94 TB
2026-05-03 19:08:00,8.98 TB
2026-05-03 19:08:20,9.04 TB
2026-05-03 19:08:40,9.07 TB
2026-05-03 19:09:00,9.10 TB
2026-05-03 19:09:20,9.17 TB
2026-05-03 19:09:40,9.20 TB
2026-05-03 19:10:00,9.23 TB
2026-05-03 19:10:20,9.29 TB
2026-05-03 19:10:40,9.32 TB
2026-05-03 19:11:00,9.36 TB
2026-05-03 19:11:20,9.42 TB
2026-05-03 19:11:40,9.45 TB
2026-05-03 19:12:00,9.48 TB
2026-05-03 19:12:20,9.55 TB
2026-05-03 19:12:40,9.58 TB
2026-05-03 19:13:00,9.61 TB
2026-05-03 19:13:20,9.67 TB
2026-05-03 19:13:40,9.71 TB
2026-05-03 19:14:00,9.74 TB
2026-05-03 19:14:20,9.80 TB
2026-05-03 19:14:40,9.83 TB
2026-05-03 19:15:00,9.87 TB
2026-05-03 19:15:20,9.93 TB
2026-05-03 19:15:40,9.96 TB
2026-05-03 19:16:00,9.99 TB
2026-05-03 19:16:20,10.1 TB
2026-05-03 19:16:40,10.1 TB
2026-05-03 19:17:00,10.1 TB
2026-05-03 19:17:20,10.2 TB
2026-05-03 19:17:40,10.2 TB
2026-05-03 19:18:00,10.2 TB
2026-05-03 19:18:20,10.3 TB
2026-05-03 19:18:40,10.3 TB
2026-05-03 19:19:00,10.4 TB
2026-05-03 19:19:20,10.4 TB
2026-05-03 19:19:40,10.5 TB
2026-05-03 19:20:00,10.5 TB
2026-05-03 19:20:20,10.6 TB
2026-05-03 19:20:40,10.6 TB
2026-05-03 19:21:00,10.6 TB
2026-05-03 19:21:20,10.7 TB
2026-05-03 19:21:40,10.7 TB
2026-05-03 19:22:00,10.8 TB
2026-05-03 19:22:20,10.8 TB
2026-05-03 19:22:40,10.9 TB
2026-05-03 19:23:00,10.9 TB
2026-05-03 19:23:20,10.9 TB
2026-05-03 19:23:40,11.0 TB
2026-05-03 19:24:00,11.0 TB
2026-05-03 19:24:20,11.1 TB
2026-05-03 19:24:40,11.1 TB
2026-05-03 19:25:00,11.1 TB
2026-05-03 19:25:20,11.2 TB
2026-05-03 19:25:40,11.2 TB
2026-05-03 19:26:00,11.3 TB
2026-05-03 19:26:20,11.3 TB
2026-05-03 19:26:40,11.4 TB
2026-05-03 19:27:00,11.4 TB
2026-05-03 19:27:20,11.5 TB
2026-05-03 19:27:40,11.5 TB
2026-05-03 19:28:00,11.5 TB
2026-05-03 19:28:20,11.6 TB
2026-05-03 19:28:40,11.6 TB
2026-05-03 19:29:00,11.6 TB
2026-05-03 19:29:20,11.7 TB
2026-05-03 19:29:40,11.7 TB
2026-05-03 19:30:00,11.8 TB
2026-05-03 19:30:20,11.8 TB
2026-05-03 19:30:40,11.9 TB
2026-05-03 19:31:00,11.9 TB
2026-05-03 19:31:20,12.0 TB
2026-05-03 19:31:40,12.0 TB
2026-05-03 19:32:00,12.0 TB
2026-05-03 19:32:20,12.1 TB
2026-05-03 19:32:40,12.1 TB
2026-05-03 19:33:00,12.2 TB
2026-05-03 19:33:20,12.2 TB
2026-05-03 19:33:40,12.3 TB
2026-05-03 19:34:00,12.3 TB
2026-05-03 19:34:20,12.3 TB
2026-05-03 19:34:40,12.4 TB
2026-05-03 19:35:00,12.4 TB
2026-05-03 19:35:20,12.5 TB
2026-05-03 19:35:40,12.5 TB
2026-05-03 19:36:00,12.5 TB
2026-05-03 19:36:20,12.6 TB
2026-05-03 19:36:40,12.6 TB
2026-05-03 19:37:00,12.7 TB
2026-05-03 19:37:20,12.7 TB
2026-05-03 19:37:40,12.8 TB
2026-05-03 19:38:00,12.8 TB
2026-05-03 19:38:20,12.9 TB
2026-05-03 19:38:40,12.9 TB
2026-05-03 19:39:00,12.9 TB
2026-05-03 19:39:20,13.0 TB
2026-05-03 19:39:40,13.0 TB
2026-05-03 19:40:00,13.0 TB
2026-05-03 19:40:20,13.1 TB
2026-05-03 19:40:40,13.1 TB
2026-05-03 19:41:00,13.2 TB
2026-05-03 19:41:20,13.2 TB
2026-05-03 19:41:40,13.3 TB
2026-05-03 19:42:00,13.3 TB
2026-05-03 19:42:20,13.4 TB
2026-05-03 19:42:40,13.4 TB
2026-05-03 19:43:00,13.4 TB
2026-05-03 19:43:20,13.5 TB
2026-05-03 19:43:40,13.5 TB
2026-05-03 19:44:00,13.6 TB
2026-05-03 19:44:20,13.6 TB
2026-05-03 19:44:40,13.6 TB
2026-05-03 19:45:00,13.7 TB
2026-05-03 19:45:20,13.7 TB
2026-05-03 19:45:40,13.8 TB
2026-05-03 19:46:00,13.8 TB
2026-05-03 19:46:20,13.9 TB
2026-05-03 19:46:40,13.9 TB
2026-05-03 19:47:00,13.9 TB
2026-05-03 19:47:20,14.0 TB
2026-05-03 19:47:40,14.0 TB
2026-05-03 19:48:00,14.1 TB
2026-05-03 19:48:20,14.1 TB
2026-05-03 19:48:40,14.2 TB
2026-05-03 19:49:00,14.2 TB
2026-05-03 19:49:20,14.2 TB
2026-05-03 19:49:40,14.3 TB
2026-05-03 19:50:00,14.3 TB
2026-05-03 19:50:20,14.4 TB
2026-05-03 19:50:40,14.4 TB
2026-05-03 19:51:00,14.4 TB
2026-05-03 19:51:20,14.5 TB
2026-05-03 19:51:40,14.5 TB
2026-05-03 19:52:00,14.6 TB
2026-05-03 19:52:20,14.6 TB
2026-05-03 19:52:40,14.7 TB
2026-05-03 19:53:00,14.7 TB
2026-05-03 19:53:20,14.8 TB
2026-05-03 19:53:40,14.8 TB
2026-05-03 19:54:00,14.8 TB
2026-05-03 19:54:20,14.9 TB
2026-05-03 19:54:40,14.9 TB
2026-05-03 19:55:00,14.9 TB
2026-05-03 19:55:20,15.0 TB
2026-05-03 19:55:40,15.0 TB
2026-05-03 19:56:00,15.1 TB
2026-05-03 19:56:20,15.1 TB
2026-05-03 19:56:40,15.2 TB
2026-05-03 19:57:00,15.2 TB
2026-05-03 19:57:20,15.3 TB
2026-05-03 19:57:40,15.3 TB
2026-05-03 19:58:00,15.3 TB
2026-05-03 19:58:20,15.4 TB
2026-05-03 19:58:40,15.4 TB
2026-05-03 19:59:00,15.5 TB
2026-05-03 19:59:20,15.5 TB
2026-05-03 19:59:40,15.6 TB
2026-05-03 20:00:00,15.6 TB
2026-05-03 20:00:20,15.7 TB
2026-05-03 20:00:40,15.7 TB
2026-05-03 20:01:00,15.7 TB
2026-05-03 20:01:20,15.8 TB
2026-05-03 20:01:40,15.8 TB
2026-05-03 20:02:00,15.9 TB
2026-05-03 20:02:20,15.9 TB
2026-05-03 20:02:40,16.0 TB
2026-05-03 20:03:00,16.0 TB
2026-05-03 20:03:20,16.0 TB
2026-05-03 20:03:40,16.1 TB
2026-05-03 20:04:00,16.1 TB
2026-05-03 20:04:20,16.2 TB
2026-05-03 20:04:40,16.2 TB
2026-05-03 20:05:00,16.2 TB
2026-05-03 20:05:20,16.3 TB
2026-05-03 20:05:40,16.3 TB
2026-05-03 20:06:00,16.4 TB
2026-05-03 20:06:20,16.4 TB
2026-05-03 20:06:40,16.5 TB
2026-05-03 20:07:00,16.5 TB
2026-05-03 20:07:20,16.6 TB
2026-05-03 20:07:40,16.6 TB
2026-05-03 20:08:00,16.6 TB
2026-05-03 20:08:20,16.7 TB
2026-05-03 20:08:40,16.7 TB
2026-05-03 20:09:00,16.7 TB
2026-05-03 20:09:20,16.8 TB
2026-05-03 20:09:40,16.8 TB
2026-05-03 20:10:00,16.9 TB
2026-05-03 20:10:20,16.9 TB
2026-05-03 20:10:40,17.0 TB
2026-05-03 20:11:00,17.0 TB
2026-05-03 20:11:20,17.1 TB
2026-05-03 20:11:40,17.1 TB
2026-05-03 20:12:00,17.1 TB
2026-05-03 20:12:20,17.2 TB
2026-05-03 20:12:40,17.2 TB
2026-05-03 20:13:00,17.3 TB
2026-05-03 20:13:20,17.3 TB
2026-05-03 20:13:40,17.3 TB
2026-05-03 20:14:00,17.4 TB
2026-05-03 20:14:20,17.4 TB
2026-05-03 20:14:40,17.5 TB
2026-05-03 20:15:00,17.5 TB
2026-05-03 20:15:20,17.6 TB
2026-05-03 20:15:40,17.6 TB
2026-05-03 20:16:00,17.6 TB
2026-05-03 20:16:20,17.7 TB
2026-05-03 20:16:40,17.7 TB
2026-05-03 20:17:00,17.8 TB
2026-05-03 20:17:20,17.8 TB
2026-05-03 20:17:40,17.9 TB
2026-05-03 20:18:00,17.9 TB
2026-05-03 20:18:20,17.9 TB
2026-05-03 20:18:40,18.0 TB
2026-05-03 20:19:00,18.0 TB
2026-05-03 20:19:20,18.1 TB
2026-05-03 20:19:40,18.1 TB
2026-05-03 20:20:00,18.1 TB
2026-05-03 20:20:20,18.2 TB
2026-05-03 20:20:40,18.2 TB
2026-05-03 20:21:00,18.3 TB
2026-05-03 20:21:20,18.3 TB
2026-05-03 20:21:40,18.4 TB
2026-05-03 20:22:00,18.4 TB
2026-05-03 20:22:20,18.5 TB
2026-05-03 20:22:40,18.5 TB
2026-05-03 20:23:00,18.5 TB
2026-05-03 20:23:20,18.6 TB
2026-05-03 20:23:40,18.6 TB
2026-05-03 20:24:00,18.6 TB
2026-05-03 20:24:20,18.7 TB
2026-05-03 20:24:40,18.7 TB
2026-05-03 20:25:00,18.8 TB
2026-05-03 20:25:20,18.8 TB
2026-05-03 20:25:40,18.9 TB
2026-05-03 20:26:00,18.9 TB
2026-05-03 20:26:20,19.0 TB
2026-05-03 20:26:40,19.0 TB
2026-05-03 20:27:00,19.0 TB
2026-05-03 20:27:20,19.1 TB
2026-05-03 20:27:40,19.1 TB
2026-05-03 20:28:00,19.2 TB
2026-05-03 20:28:20,19.2 TB
2026-05-03 20:28:40,19.2 TB
2026-05-03 20:29:00,19.3 TB
2026-05-03 20:29:20,19.3 TB
2026-05-03 20:29:40,19.4 TB
2026-05-03 20:30:00,19.4 TB
2026-05-03 20:30:20,19.5 TB
2026-05-03 20:30:40,19.5 TB
2026-05-03 20:31:00,19.5 TB
2026-05-03 20:31:20,19.6 TB
2026-05-03 20:31:40,19.6 TB
2026-05-03 20:32:00,19.7 TB
2026-05-03 20:32:20,19.7 TB
2026-05-03 20:32:40,19.8 TB
2026-05-03 20:33:00,19.8 TB
2026-05-03 20:33:20,19.8 TB
2026-05-03 20:33:40,19.9 TB
2026-05-03 20:34:00,19.9 TB
2026-05-03 20:34:20,20.0 TB
2026-05-03 20:34:40,20.0 TB
2026-05-03 20:35:00,20.0 TB
2026-05-03 20:35:20,20.1 TB
2026-05-03 20:35:40,20.1 TB
2026-05-03 20:36:00,20.2 TB
2026-05-03 20:36:20,20.2 TB
2026-05-03 20:36:40,20.3 TB
2026-05-03 20:37:00,20.3 TB
2026-05-03 20:37:20,20.3 TB
2026-05-03 20:37:40,20.4 TB
2026-05-03 20:38:00,20.4 TB
2026-05-03 20:38:20,20.5 TB
2026-05-03 20:38:40,20.5 TB
2026-05-03 20:39:00,20.5 TB
2026-05-03 20:39:20,20.6 TB
2026-05-03 20:39:40,20.6 TB
2026-05-03 20:40:00,20.7 TB
2026-05-03 20:40:20,20.7 TB
2026-05-03 20:40:40,20.8 TB
2026-05-03 20:41:00,20.8 TB
2026-05-03 20:41:20,20.9 TB
2026-05-03 20:41:40,20.9 TB
2026-05-03 20:42:00,20.9 TB
2026-05-03 20:42:20,21.0 TB
2026-05-03 20:42:40,21.0 TB
2026-05-03 20:43:00,21.0 TB
2026-05-03 20:43:20,21.1 TB
2026-05-03 20:43:40,21.1 TB
2026-05-03 20:44:00,21.2 TB
2026-05-03 20:44:20,21.2 TB
2026-05-03 20:44:40,21.3 TB
2026-05-03 20:45:00,21.3 TB
2026-05-03 20:45:20,21.4 TB
2026-05-03 20:45:40,21.4 TB
2026-05-03 20:46:00,21.4 TB
2026-05-03 20:46:20,21.5 TB
2026-05-03 20:46:40,21.5 TB
2026-05-03 20:47:00,21.5 TB
2026-05-03 20:47:20,21.6 TB
2026-05-03 20:47:40,21.6 TB
2026-05-03 20:48:00,21.7 TB
2026-05-03 20:48:20,21.7 TB
2026-05-03 20:48:40,21.8 TB
2026-05-03 20:49:00,21.8 TB
2026-05-03 20:49:20,21.9 TB
2026-05-03 20:49:40,21.9 TB
2026-05-03 20:50:00,21.9 TB
2026-05-03 20:50:20,22.0 TB
2026-05-03 20:50:40,22.0 TB
2026-05-03 20:51:00,22.1 TB
2026-05-03 20:51:20,22.1 TB
2026-05-03 20:51:40,22.2 TB
2026-05-03 20:52:00,22.2 TB
2026-05-03 20:52:20,22.2 TB
2026-05-03 20:52:40,22.3 TB
2026-05-03 20:53:00,22.3 TB
2026-05-03 20:53:20,22.4 TB
2026-05-03 20:53:40,22.4 TB
2026-05-03 20:54:00,22.4 TB
2026-05-03 20:54:20,22.5 TB
2026-05-03 20:54:40,22.5 TB
2026-05-03 20:55:00,22.6 TB
2026-05-03 20:55:20,22.6 TB
2026-05-03 20:55:40,22.7 TB
2026-05-03 20:56:00,22.7 TB
2026-05-03 20:56:20,22.7 TB
2026-05-03 20:56:40,22.8 TB
2026-05-03 20:57:00,22.8 TB
2026-05-03 20:57:20,22.9 TB
2026-05-03 20:57:40,22.9 TB
2026-05-03 20:58:00,22.9 TB
2026-05-03 20:58:20,23.0 TB
