"Time","172.212.226.225:9100direction: rx gpu_index: 0"
2026-04-27 20:30:45,2.92 GB/s
2026-04-27 20:31:00,2.98 GB/s
2026-04-27 20:31:15,2.98 GB/s
2026-04-27 20:31:30,2.97 GB/s
2026-04-27 20:31:45,2.97 GB/s
2026-04-27 20:32:00,3.29 GB/s
2026-04-27 20:32:15,3.29 GB/s
2026-04-27 20:32:30,3.01 GB/s
2026-04-27 20:32:45,3.01 GB/s
2026-04-27 20:33:00,2.93 GB/s
2026-04-27 20:33:15,2.93 GB/s
2026-04-27 20:33:30,2.94 GB/s
2026-04-27 20:33:45,2.94 GB/s
2026-04-27 20:34:00,2.99 GB/s
2026-04-27 20:34:15,2.99 GB/s
2026-04-27 20:34:30,3.43 GB/s
2026-04-27 20:34:45,3.43 GB/s
2026-04-27 20:35:00,2.93 GB/s
2026-04-27 20:35:15,2.93 GB/s
2026-04-27 20:35:30,2.92 GB/s
2026-04-27 20:35:45,2.92 GB/s
2026-04-27 20:36:00,2.94 GB/s
2026-04-27 20:36:15,2.94 GB/s
2026-04-27 20:36:30,3.46 GB/s
2026-04-27 20:36:45,3.46 GB/s
2026-04-27 20:37:00,2.91 GB/s
2026-04-27 20:37:15,2.91 GB/s
2026-04-27 20:37:30,2.93 GB/s
2026-04-27 20:37:45,2.93 GB/s
2026-04-27 20:38:00,2.93 GB/s
2026-04-27 20:38:15,2.93 GB/s
2026-04-27 20:38:30,3.00 GB/s
2026-04-27 20:38:45,3.00 GB/s
2026-04-27 20:39:00,3.35 GB/s
2026-04-27 20:39:15,3.35 GB/s
2026-04-27 20:39:30,2.97 GB/s
2026-04-27 20:39:45,2.97 GB/s
2026-04-27 20:40:00,2.92 GB/s
2026-04-27 20:40:15,2.92 GB/s
2026-04-27 20:40:30,2.93 GB/s
2026-04-27 20:40:45,2.93 GB/s
2026-04-27 20:41:00,3.35 GB/s
2026-04-27 20:41:15,3.35 GB/s
2026-04-27 20:41:30,2.97 GB/s
2026-04-27 20:41:45,2.97 GB/s
2026-04-27 20:42:00,2.98 GB/s
2026-04-27 20:42:15,2.98 GB/s
2026-04-27 20:42:30,2.98 GB/s
2026-04-27 20:42:45,2.98 GB/s
2026-04-27 20:43:00,3.14 GB/s
2026-04-27 20:43:15,3.14 GB/s
2026-04-27 20:43:30,3.12 GB/s
2026-04-27 20:43:45,3.12 GB/s
2026-04-27 20:44:00,2.98 GB/s
2026-04-27 20:44:15,2.98 GB/s
2026-04-27 20:44:30,2.98 GB/s
2026-04-27 20:44:45,2.98 GB/s
2026-04-27 20:45:00,2.97 GB/s
2026-04-27 20:45:15,2.97 GB/s
2026-04-27 20:45:30,3.33 GB/s
2026-04-27 20:45:45,3.33 GB/s
2026-04-27 20:46:00,2.93 GB/s
2026-04-27 20:46:15,2.93 GB/s
2026-04-27 20:46:30,2.94 GB/s
2026-04-27 20:46:45,2.94 GB/s
2026-04-27 20:47:00,2.98 GB/s
2026-04-27 20:47:15,2.98 GB/s
2026-04-27 20:47:30,3.38 GB/s
2026-04-27 20:47:45,3.38 GB/s
2026-04-27 20:48:00,2.99 GB/s
2026-04-27 20:48:15,2.99 GB/s
2026-04-27 20:48:30,2.93 GB/s
2026-04-27 20:48:45,2.93 GB/s
2026-04-27 20:49:00,2.94 GB/s
2026-04-27 20:49:15,2.94 GB/s
2026-04-27 20:49:30,2.93 GB/s
2026-04-27 20:49:45,2.93 GB/s
2026-04-27 20:50:00,3.46 GB/s
2026-04-27 20:50:15,3.46 GB/s
2026-04-27 20:50:30,2.96 GB/s
2026-04-27 20:50:45,2.96 GB/s
2026-04-27 20:51:00,2.94 GB/s
2026-04-27 20:51:15,2.94 GB/s
2026-04-27 20:51:30,2.94 GB/s
2026-04-27 20:51:45,2.94 GB/s
2026-04-27 20:52:00,3.41 GB/s
2026-04-27 20:52:15,3.41 GB/s
2026-04-27 20:52:30,2.99 GB/s
2026-04-27 20:52:45,2.99 GB/s
2026-04-27 20:53:00,2.93 GB/s
2026-04-27 20:53:15,2.93 GB/s
2026-04-27 20:53:30,2.93 GB/s
2026-04-27 20:53:45,2.93 GB/s
2026-04-27 20:54:00,3.05 GB/s
2026-04-27 20:54:15,3.05 GB/s
2026-04-27 20:54:30,3.25 GB/s
2026-04-27 20:54:45,3.25 GB/s
2026-04-27 20:55:00,2.97 GB/s
2026-04-27 20:55:15,2.97 GB/s
2026-04-27 20:55:30,2.96 GB/s
2026-04-27 20:55:45,2.96 GB/s
2026-04-27 20:56:00,2.93 GB/s
2026-04-27 20:56:15,2.93 GB/s
2026-04-27 20:56:30,3.31 GB/s
2026-04-27 20:56:45,3.31 GB/s
